,timestamp,what_degree_program_are_you_currently_enrolled_in?,gender,race/ethnicity,age_,what_motivated_you_to_seek_a_computing_class_at_ccm?_[it’s_a_required_class_for_the_degree_i’m_seeking],what_motivated_you_to_seek_a_computing_class_at_ccm?_[to_keep_current_in_computing_skills],what_motivated_you_to_seek_a_computing_class_at_ccm?_[career_advancement],what_motivated_you_to_seek_a_computing_class_at_ccm?_[career_change],what_motivated_you_to_seek_a_computing_class_at_ccm?_[professional_development],what_motivated_you_to_seek_a_computing_class_at_ccm?_[job_displacement],what_motivated_you_to_seek_a_computing_class_at_ccm?_[relocation],what_motivated_you_to_seek_a_computing_class_at_ccm?_[it_industry_certifications],what_motivated_you_to_seek_a_computing_class_at_ccm?_[financial],what_motivated_you_to_seek_a_computing_class_at_ccm?_[personal_enrichment],what_motivated_you_to_seek_a_computing_class_at_ccm?_[curiosity],"if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[web_development]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[cybersecurity]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[app_development]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[data_analytics]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[machine_learning/artificial_intelligence]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[computer_programming]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[game_design]","if_you_answered_that_you_were_interested_in_taking_more_computing_classes,_which_ones_interest_you_most?_[hardware_installation_&_repair]"
0,2024/09/10 10:47:35 AM AST,Liberal Arts,Prefer not to say,Hispanic or Latino;Black/African American;White/Caucasian;Multi-Racial,19-20,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
1,2024/09/10 11:00:05 AM AST,child psychology ,Woman,Hispanic or Latino,19-20,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
2,2024/09/10 11:02:51 AM AST,Broadcasting Arts and Technology,Man,Choose not to reply,18 and younger,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
3,2024/09/10 11:05:25 AM AST,analyst,Man,Hispanic or Latino,19-20,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
4,2024/09/10 8:37:36 PM AST,Journalism,Woman,White/Caucasian,19-20,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
5,2024/09/10 9:29:27 PM AST,Liberal Arts,Woman,White/Caucasian,19-20,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No
6,2024/09/10 10:52:37 PM AST,Early Childhood Education,Woman,Hispanic or Latino,19-20,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No
7,2024/09/11 10:54:10 AM AST,Nursing,Woman,Hispanic or Latino;Black/African American,18 and younger,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,2024/09/11 12:40:52 PM AST,Liberal Arts,Woman,White/Caucasian,19-20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
9,2024/09/11 7:06:45 PM AST,Liberal Arts,Woman,White/Caucasian,19-20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10,2024/09/11 8:16:57 PM AST,Nursing,Woman,Asian,25-34,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No
11,2024/09/12 9:34:01 AM AST,Radiography,Woman,Hispanic or Latino;White/Caucasian,21-24,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12,2024/09/12 9:34:06 AM AST,Radiography,Woman,Hispanic or Latino;White/Caucasian,21-24,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
13,2024/09/12 10:29:04 AM AST,Radiography,Woman,White/Caucasian,21-24,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
14,2024/09/12 11:29:38 AM AST,Radiography,Non-binary,White/Caucasian,18 and younger,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
15,2024/09/12 11:30:15 AM AST,Exercise Science,Man,White/Caucasian,19-20,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
16,2024/09/12 11:30:18 AM AST,Radiography,Woman,White/Caucasian,18 and younger,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
17,2024/09/12 11:30:21 AM AST,Exercise Science,Man,White/Caucasian,18 and younger,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
18,2024/09/12 11:30:23 AM AST,Radiography,Woman,Hispanic or Latino,18 and younger,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
19,2024/09/12 11:30:37 AM AST,Engineering Science,Man,Asian;Black/African American,19-20,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes
20,2024/09/12 11:30:41 AM AST,Radiography,Woman,White/Caucasian,18 and younger,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
21,2024/09/12 11:30:44 AM AST,Engineering Science,Man,Asian;White/Caucasian,19-20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22,2024/09/12 11:30:59 AM AST,Radiography,Man,White/Caucasian,25-34,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
23,2024/09/12 11:31:09 AM AST,Radiography,Man,Hispanic or Latino,25-34,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
24,2024/09/12 11:31:20 AM AST,Radiography,Woman,Hispanic or Latino,19-20,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
25,2024/09/12 11:31:27 AM AST,Music Technology,Man,Hispanic or Latino;White/Caucasian,18 and younger,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No
26,2024/09/12 11:31:56 AM AST,Nursing,Woman,White/Caucasian,19-20,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
27,2024/09/12 11:32:08 AM AST,Engineering Science,Man,White/Caucasian,19-20,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
28,2024/09/12 11:32:22 AM AST,Radiography,Man,Asian;White/Caucasian,25-34,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
29,2024/09/12 11:32:31 AM AST,Radiography,Woman,Hispanic or Latino,21-24,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No
30,2024/09/12 11:32:42 AM AST,Radiography,Woman,Hispanic or Latino,21-24,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
31,2024/09/12 11:32:44 AM AST,Radiography,Woman,Hispanic or Latino;White/Caucasian,18 and younger,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No
32,2024/09/12 11:33:25 AM AST,Radiography,Woman,American Indian/Native American/Alaska Native;White/Caucasian,18 and younger,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No
33,2024/09/12 12:41:01 PM AST,Liberal Arts,Man,White/Caucasian,35-64,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes
34,2024/09/12 3:57:02 PM AST,"Nursing, but not at CCM - I am a visiting student ",Woman,Hispanic or Latino;White/Caucasian;Multi-Racial,21-24,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
35,2024/09/12 8:04:41 PM AST,Radiography,Man,White/Caucasian,19-20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
36,2024/09/12 8:04:45 PM AST,Radiography,Man,Black/African American,21-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
37,2024/09/12 8:04:48 PM AST,Liberal Arts,Man,White/Caucasian,19-20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
38,2024/09/12 8:04:56 PM AST,Psychology,Woman,White/Caucasian,19-20,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
39,2024/09/12 8:05:15 PM AST,Radiography,Woman,Hispanic or Latino,19-20,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No
40,2024/09/12 8:05:28 PM AST,Nursing,Woman,Hispanic or Latino,21-24,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
41,2024/09/12 8:05:31 PM AST,Radiography,Woman,Hispanic or Latino;Asian;White/Caucasian,18 and younger,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
42,2024/09/12 8:05:34 PM AST,Criminal Justice,Woman,Black/African American,19-20,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
43,2024/09/12 8:05:42 PM AST,Not in a degree program,Woman,Hispanic or Latino,18 and younger,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
44,2024/09/12 8:05:49 PM AST,Radiography,Woman,Choose not to reply,25-34,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
45,2024/09/12 8:06:05 PM AST,Exercise Science,Woman,Hispanic or Latino,21-24,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
46,2024/09/12 8:06:11 PM AST,Exercise Science,Woman,Hispanic or Latino,21-24,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
47,2024/09/12 8:06:14 PM AST,Criminal Justice,Man,White/Caucasian,19-20,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
48,2024/09/12 8:06:56 PM AST,Radiography,Woman,White/Caucasian,19-20,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No
49,2024/09/12 8:08:51 PM AST,Radiography,Man,Hispanic or Latino,19-20,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
50,2024/09/12 8:15:35 PM AST,Biology,Woman,Hispanic or Latino,19-20,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
51,2024/09/14 9:28:21 PM AST,Radiography,Woman,Hispanic or Latino,25-34,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
52,2024/09/15 2:58:37 PM AST,Criminal Justice,Man,Black/African American,19-20,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes
53,2024/09/16 12:12:48 PM AST,Liberal Arts,Man,White/Caucasian,35-64,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
54,2024/09/16 12:33:11 PM AST,Broadcasting Arts and Technology,Woman,White/Caucasian,19-20,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
55,2024/09/16 4:07:09 PM AST,Liberal Arts,Woman,White/Caucasian,25-34,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
56,2024/09/16 10:12:54 PM AST,Not in a degree program,Woman,Hispanic or Latino,18 and younger,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No
57,2024/09/17 7:53:12 AM AST,Criminal Justice,Man,White/Caucasian,19-20,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
58,2024/09/18 12:06:47 PM AST,Culinary Arts and Sciences,Man,Asian,21-24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
59,2024/09/18 2:57:56 PM AST,Radiography,Woman,Black/African American,19-20,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
60,2024/09/18 4:12:53 PM AST,Nursing,Woman,Hispanic or Latino,21-24,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
61,2024/09/19 9:12:47 AM AST,Broadcasting Arts and Technology,Prefer not to say,White/Caucasian,19-20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
62,2024/09/19 9:15:33 AM AST,Liberal Arts,Woman,Asian;White/Caucasian,19-20,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
63,2024/09/19 9:21:51 AM AST,Radiography,Woman,Hispanic or Latino;White/Caucasian,25-34,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
64,2024/09/19 9:34:15 AM AST,Liberal Arts,Man,Hispanic or Latino,25-34,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
65,2024/09/19 9:49:38 AM AST,History Education,Man,White/Caucasian,19-20,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes
66,2024/09/19 10:20:11 AM AST,Not in a degree program,Woman,White/Caucasian,19-20,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
67,2024/09/19 10:58:08 AM AST,Biology - Environmental Track,Man,Choose not to reply,19-20,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
68,2024/09/19 11:18:36 AM AST,Nursing,Woman,Black/African American,18 and younger,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No
69,2024/09/19 11:20:18 AM AST,Liberal Arts,Woman,Hispanic or Latino;White/Caucasian,19-20,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
70,2024/09/19 11:40:21 AM AST,Liberal Arts,Woman,White/Caucasian,19-20,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
71,2024/09/19 12:15:33 PM AST,Communication,Woman,Choose not to reply,19-20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,2024/09/19 12:35:00 PM AST,Child and Family Studies,Woman,White/Caucasian,21-24,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
73,2024/09/19 1:14:32 PM AST,Radiography,Woman,Hispanic or Latino,21-24,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
74,2024/09/19 2:00:30 PM AST,Musical Theatre,Woman,White/Caucasian,19-20,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No
75,2024/09/19 8:00:55 PM AST,Nursing,Woman,Hispanic or Latino,19-20,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
76,2024/09/19 8:41:25 PM AST,Liberal Arts,Man,White/Caucasian,35-64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes
77,2024/09/19 8:44:52 PM AST,Liberal Arts,Man,White/Caucasian,35-64,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
78,2024/09/19 8:59:39 PM AST,Liberal Arts,Woman,Hispanic or Latino,19-20,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
79,2024/09/19 9:13:35 PM AST,Early Childhood Education,Woman,Hispanic or Latino,25-34,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
80,2024/09/19 9:53:02 PM AST,Child and Family Studies,Woman,White/Caucasian,35-64,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
81,2024/09/19 9:54:19 PM AST,Fire Science ,Man,White/Caucasian,21-24,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
82,2024/09/19 10:34:09 PM AST,Criminal Justice,Man,White/Caucasian,19-20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
83,2024/09/19 10:34:24 PM AST,Child and Family Studies,Woman,White/Caucasian,19-20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
84,2024/09/20 8:24:27 AM AST,Child and Family Studies,Woman,Hispanic or Latino,19-20,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
85,2024/09/20 3:12:26 PM AST,Liberal Arts,Woman,Choose not to reply,35-64,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No
86,2024/09/20 8:42:54 PM AST,Nursing,Woman,White/Caucasian,25-34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
87,2024/09/20 10:55:34 PM AST,Early Childhood Education,Woman,Hispanic or Latino;White/Caucasian,21-24,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No
88,2024/09/20 11:02:45 PM AST,Liberal Arts,Woman,Hispanic or Latino,19-20,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
89,2024/09/20 11:07:16 PM AST,Liberal Arts,Woman,Black/African American,19-20,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
90,2024/09/21 5:06:23 PM AST,Nursing,Man,Hispanic or Latino,19-20,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
91,2024/09/22 10:08:19 PM AST,Child and Family Studies,Woman,Asian,21-24,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes
